San Francisco Mega Zone 15 - Zone A,25434003.33431103,37.73854371124314,-122.40441253321094
Houston Mega Zone 10 - Zone A,70463559.91437556,29.796827969701443,-95.40636922250332
Los Angeles Mega Zone 1 - Zone B,19506111.842953272,34.03908289502854,-118.3463323319105
New Jersey Mega Zone 4 - Zone A,27052590.27637466,40.74798424396388,-74.17956603758397
Washington D.C. Mega Zone 4 - Zone A,35124842.85619413,38.89436032452018,-77.12300669463485
El Paso Mega Zone 2 - Zone A,69218581.26353562,31.776320087074136,-106.29798222736228
Atlanta Mega Zone 1 - Zone C,69367765.92344262,33.78512118174297,-84.44227818568595
San Francisco Mega Zone 5 - Zone A,45880333.99430902,37.35552899218188,-122.01371690849226
Los Angeles Mega Zone 8 - Zone A,75019060.17964455,34.16143446816548,-118.14641161729293
Connecticut Mega Zone 9 - Zone B,106181716.84952217,41.29104029081835,-72.98529299142041
San Diego Mega Zone 10 - Zone B,146283104.32199618,32.906782124211865,-117.2015030486294
New York City Mega Zone 8 - Zone C,13410843.57922601,40.709462805958466,-73.75385408832621
Miami Mega Zone 3 - Zone C,86875543.80042212,26.170935680446807,-80.15368551137203
New York City Mega Zone 19 - Zone B,22618185.622316677,40.58414777123895,-73.8258470451663
San Francisco Mega Zone 20 - Zone C,108973179.19085398,37.405720330293214,-122.17200975463172
New York City Mega Zone 8 - Zone B,15393053.012673348,40.71185965573795,-73.828564656951
New York City Mega Zone 11 - Zone B,12005091.482646687,40.592116861160264,-73.94648199636981
New York City Mega Zone 19 - Zone A,18205621.716938447,40.6700085152774,-73.83189882896254
Austin Mega Zone 2 - Zone A,92381617.0031219,30.526234395394027,-97.64473012529463
New York City Mega Zone 4 - Zone B,5839945.095892114,40.74300281990133,-73.88018201107408
New York City Mega Zone 6 - Zone C,14534883.96116294,40.821692424502025,-73.83660917618053
San Diego Mega Zone 6 - Zone B,23175896.246809036,32.73388143401085,-117.16872735503253
[USCAN] Chicago Mega Zone 2 - Zone A [T1] - Avondale,13098346.217517657,41.9469617443281,-87.7025478016678
Dallas Mega Zone 17 - Zone A,339979871.939025,33.14990481434815,-96.85516424003313
[USCAN] Detroit Mega Zone 1 - Zone B [T3] - Downtown,39129451.07057653,42.35493351854682,-83.08245991121777
[USCAN] Minneapolis - St. Paul Mega Zone 1 - Zone A [T2] - Downtown Minneapolis,32584807.883740567,44.98001215326923,-93.28609688834925
New Jersey Mega Zone 23 - Zone B,51301612.51066045,40.81381135204689,-74.18627785736284
Boston Mega Zone 14 - Zone B,123543295.15181755,42.29196790069498,-71.2028182618321
Philadelphia Mega Zone 10 - Zone A,20371271.747062627,39.90315898198386,-75.1585425768858
Miami Mega Zone 3 - Zone A,51595911.46760013,26.02268325927511,-80.16059595875265
NYC Suburbs Mega Zone 10 - Zone B,28552520.106382616,40.93568932614423,-73.87754204207228
Las Vegas Mega Zone 6 - Zone A,63921597.316502646,36.129338779486126,-115.19094762065652
New Jersey Mega Zone 23 - Zone A,27722357.401060205,40.73522646316919,-74.25149448910946
NYC Suburbs Mega Zone 2 - Zone B,45801679.92411076,40.733407740250925,-73.6545259617009
[USCAN] Lexington Mega Zone 2 - Zone A [T3] - Downtown,78144701.70655496,38.019342485623554,-84.5203827726086
New Orleans Mega Zone 2 - Zone C,67020430.17373211,29.99340536457545,-90.14112280770287
Portland Mega Zone 3 - Zone A,61125372.97339568,45.50705781970028,-122.82210713287024
Boston Mega Zone 13 - Zone A,52530908.016305566,42.25708647759966,-71.08348626890357
[USCAN] Chicago Mega Zone 4 - Zone D [T2] - Hyde Park,23727686.99048528,41.77445887176858,-87.5851504242337
[USCAN] Madison Mega Zone 1 - Zone A [T1] - Isthmus  Campus,10584627.930354713,43.07219084832003,-89.3929159244547
San Francisco Mega Zone 21 - Zone A,215487532.72538695,37.291101306889715,-121.73738320112707
New Jersey Mega Zone 2 - Zone C,56081559.78789407,40.90321399246441,-73.98987895200209
Austin Mega Zone 2 - Zone C,56668007.87531625,30.53342860563855,-97.72474232431162
Orlando Mega Zone 4 - Zone A,326864556.93646866,28.422521206684834,-81.50643582720224
Austin Mega Zone 1 - Zone C,42979569.67215727,30.237199219276985,-97.74119468779918
San Francisco Mega Zone 18 - Zone A,229125890.82126755,37.92144918222719,-122.54712661569789
Los Angeles Mega Zone 10 - Zone A,40207410.52102344,34.26454662242162,-118.43200843852222
Washington D.C. Mega Zone 3 - Zone A,53964947.83428357,38.81821610710279,-77.10332567097896
Athens Mega Zone 1 - Zone A,1076431572.9840643,33.898416940559564,-83.40123152882315
El Paso Mega Zone 1 - Zone C,6093795643.569142,31.54105023782847,-105.35655564376925
Dallas Mega Zone 21 - Zone A,36906404.28964948,32.81825992895979,-96.78518034874145
Phoenix Mega Zone 13 - Zone A,66207674.746605344,33.48196784847812,-111.9956679047657
Philadelphia Mega Zone 11 - Zone B,60683299.400115885,39.99534861953952,-75.2515791596571
Los Angeles Mega Zone 6 - Zone C,19732491.181072142,34.08396382131912,-118.13554090665708
Los Angeles Mega Zone 25 - Zone A,26601648.348807614,34.19933273316589,-118.31256123470462
San Diego Mega Zone 1 - Zone C,68786303.1396778,32.803765631622596,-117.11520659803116
Miami Mega Zone 8 - Zone B,69681095.74491718,25.91244346438611,-80.27134500504592
Miami Mega Zone 5 - Zone B,87154806.29115875,25.596907463335764,-80.36532224776708
Los Angeles Mega Zone 23 - Zone A,12678060.887559092,33.76219269436331,-118.1221164980276
Tampa Bay Mega Zone 1 - Zone A,127775638.11628453,27.94440065599897,-82.40636797114608
